fare_id,price,currency_type,payment_method,transfers,transfer_duration
406,2.55,USD,1,,
407,2.55,USD,1,,
408,2.55,USD,1,,
409,7.55,USD,1,,
410,2.55,USD,1,,
411,2.55,USD,1,,
412,2.55,USD,1,,
413,2.55,USD,1,,
414,2.55,USD,1,,
415,2.55,USD,1,,
416,3.15,USD,1,,
417,3.60,USD,1,,
418,4.15,USD,1,,
419,4.45,USD,1,,
420,4.85,USD,1,,
421,5.20,USD,1,,
422,5.85,USD,1,,
423,6.30,USD,1,,
424,4.80,USD,1,,
425,6.25,USD,1,,
426,6.35,USD,1,,
427,5.70,USD,1,,
428,6.00,USD,1,,
429,5.40,USD,1,,
430,4.90,USD,1,,
431,4.70,USD,1,,
432,4.20,USD,1,,
433,3.45,USD,1,,
434,2.55,USD,1,,
435,2.80,USD,1,,
436,5.40,USD,1,,
437,5.40,USD,1,,
438,5.40,USD,1,,
439,5.40,USD,1,,
440,5.50,USD,1,,
441,5.60,USD,1,,
442,5.80,USD,1,,
443,5.85,USD,1,,
444,6.05,USD,1,,
445,11.50,USD,1,,
446,6.85,USD,1,,
447,7.80,USD,1,,
448,8.15,USD,1,,
449,6.55,USD,1,,
450,7.40,USD,1,,
451,6.15,USD,1,,
452,6.50,USD,1,,
453,12.60,USD,1,,
454,6.95,USD,1,,
455,6.00,USD,1,,
456,2.55,USD,1,,
457,2.55,USD,1,,
458,2.55,USD,1,,
459,2.55,USD,1,,
460,7.55,USD,1,,
461,2.55,USD,1,,
462,2.55,USD,1,,
463,2.55,USD,1,,
464,2.55,USD,1,,
465,2.55,USD,1,,
466,3.00,USD,1,,
467,3.40,USD,1,,
468,4.05,USD,1,,
469,4.40,USD,1,,
470,4.75,USD,1,,
471,5.15,USD,1,,
472,5.80,USD,1,,
473,6.25,USD,1,,
474,4.75,USD,1,,
475,6.20,USD,1,,
476,6.30,USD,1,,
477,5.60,USD,1,,
478,5.95,USD,1,,
479,5.35,USD,1,,
480,4.80,USD,1,,
481,4.60,USD,1,,
482,4.10,USD,1,,
483,3.25,USD,1,,
484,2.55,USD,1,,
485,2.65,USD,1,,
486,5.30,USD,1,,
487,5.30,USD,1,,
488,5.30,USD,1,,
489,5.30,USD,1,,
490,5.45,USD,1,,
491,5.50,USD,1,,
492,5.70,USD,1,,
493,5.80,USD,1,,
494,5.95,USD,1,,
495,11.35,USD,1,,
496,6.80,USD,1,,
497,7.75,USD,1,,
498,8.10,USD,1,,
499,6.50,USD,1,,
500,7.35,USD,1,,
501,6.05,USD,1,,
502,6.40,USD,1,,
503,12.50,USD,1,,
504,6.85,USD,1,,
505,5.90,USD,1,,
506,2.55,USD,1,,
507,2.55,USD,1,,
508,2.55,USD,1,,
509,2.55,USD,1,,
510,2.55,USD,1,,
511,7.55,USD,1,,
512,2.55,USD,1,,
513,2.55,USD,1,,
514,2.55,USD,1,,
515,2.55,USD,1,,
516,2.80,USD,1,,
517,3.20,USD,1,,
518,3.85,USD,1,,
519,4.25,USD,1,,
520,4.65,USD,1,,
521,5.05,USD,1,,
522,5.70,USD,1,,
523,6.10,USD,1,,
524,4.65,USD,1,,
525,6.10,USD,1,,
526,6.25,USD,1,,
